PERIOD,UNIT_ID,UNIT_NAME,UNIT_TYPE,AREA_CODE,AREA_NAME,REG_CODE,REG_NAME,TOPIC_REASON_1,TOPIC_REASON_2,TOPIC_RESULT,SERVICE,BRAND,APP_ID,JML
2023-05-15,1110,GraPARI Rantau Prapat,gerai,1,Sumatera,1,Sumbagut,TAGIHAN & PEMBAYARAN,Masa Aktif Prepaid,I41-Informasi pulsa & masa aktif,I,kartu As,DSC,1
2023-05-15,1110,GraPARI Rantau Prapat,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,P51-Ganti Kartu Untuk Upgrade Kartu,P,kartu As,DSC,2
2023-05-15,1110,GraPARI Rantau Prapat,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Rusak Akibat Penggunaan,P,simPATI,DSC,1
2023-05-15,1110,GraPARI Rantau Prapat,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Paket,P54-Permintaan modify offer/VAS,P,KartuHalo,DSC,1
2023-05-15,1110,GraPARI Rantau Prapat,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Prepaid Registration,P13-Permintaan registrasi Prabayar,P,simPATI,DSC,1
2023-05-15,1111,GraPARI Tebing Tinggi,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status history mutasi,C,simPATI,DSC,10
2023-05-15,1111,GraPARI Tebing Tinggi,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,I51-Informasi syarat dan ketentuan,I,KartuHalo,DSC,1
2023-05-15,1292,GraPARI Medan Marelan,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,simPATI,DSC,1
2023-05-15,1292,GraPARI Medan Marelan,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,I26-Informasi syarat & ketentuan produk,I,simPATI,DSC,1
2023-05-15,1292,GraPARI Medan Marelan,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,I14-Informasi cara reaktivasi,I,simPATI,DSC,1
2023-05-15,1292,GraPARI Medan Marelan,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reestablish Halo,I15-Informasi cara reestablish,I,KartuHalo,DSC,1
2023-05-15,1292,GraPARI Medan Marelan,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang,P,simPATI,DSC,1
2023-05-15,1294,GraPARI Sigli,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang,P,simPATI,DSC,1
2023-05-15,1294,GraPARI Sigli,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Prepaid Registration,P13-Permintaan registrasi Prabayar,P,simPATI,DSC,1
2023-05-15,1309,GraPARI Medan Fair Plaza,gerai,1,Sumatera,1,Sumbagut,TAGIHAN & PEMBAYARAN,Pembayaran Tagihan,P44-Permintaan pembayaran tagihan,P,KartuHalo,Paradise,2
2023-05-15,1309,GraPARI Medan Fair Plaza,gerai,1,Sumatera,1,Sumbagut,TAGIHAN & PEMBAYARAN,Pembayaran Tagihan,P46-Pembayaran Berhenti Berlangganan Telkomsel Halo,P,KartuHalo,DSC,1
2023-05-15,1309,GraPARI Medan Fair Plaza,gerai,1,Sumatera,1,Sumbagut,TERMINASI,Berhenti berlangganan Telkomsel Halo,P71-Permintaan berhenti berlangganan,P,KartuHalo,DSC,1
2023-05-15,60015,GraPARI Medan Karyajasa,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,KartuHalo,DSC,3
2023-05-15,60015,GraPARI Medan Karyajasa,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Prepaid Registration,I13-Informasi cara registrasi Prabayar,I,simPATI,DSC,2
2023-05-15,60015,GraPARI Medan Karyajasa,gerai,1,Sumatera,1,Sumbagut,MUTASI,Voluntary Block,K57-Gagal open Blokir hilang,K,simPATI,DSC,1
2023-05-15,60015,GraPARI Medan Karyajasa,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Perdana PraBayar,P12-Permintaan pembelian perdana PraBayar,P,simPATI,DSC,1
2023-05-15,60015,GraPARI Medan Karyajasa,gerai,1,Sumatera,1,Sumbagut,TERMINASI,Berhenti berlangganan Telkomsel Halo,P71-Batal berhenti ambil produk churn prevention,P,KartuHalo,DSC,2
2023-05-15,60046,GraPARI Takengon,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Layanan Pelanggan,C84-Interaksi Terputus,C,simPATI,DSC,1
2023-05-15,60046,GraPARI Takengon,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,I51-Informasi syarat dan ketentuan,I,skunk,DSC,1
2023-05-15,60046,GraPARI Takengon,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Reaktivasi Prabayar,P14-Permintaan Reaktivasi,P,kartu As,DSC,1
2023-05-15,60221,GraPARI Gunung Sitoli,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,I51-Informasi syarat dan ketentuan,I,kartu As,DSC,1
2023-05-15,60221,GraPARI Gunung Sitoli,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,PSB,P11-Permintaan Pasang Baru Telkomsel Halo,P,KartuHalo,DSC,1
2023-05-15,60222,GraPARI Tarutung,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi sisa kuota & paket yg aktif,I,KartuHalo,DSC,1
2023-05-15,60267,GraPARI Balige,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,Prepaid Registration,P13-Permintaan registrasi Prabayar,P,simPATI,DSC,3
2023-05-15,90065,GraPARI Tanjung Morawa,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status aktivasi nomor,C,kartu As,DSC,1
2023-05-15,90065,GraPARI Tanjung Morawa,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,P51-Ganti Kartu Karena Hilang,P,simPATI,DSC,1
2023-05-15,90066,GraPARI Stabat,gerai,1,Sumatera,1,Sumbagut,BACKEND QUERY & SYSTEM,Validasi Pelanggan,C81-Pengecekan status history mutasi,C,kartu As,DSC,1
2023-05-15,90066,GraPARI Stabat,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,P21-Permintaan aktivasi produk,P,kartu As,DSC,1
2023-05-15,90066,GraPARI Stabat,gerai,1,Sumatera,1,Sumbagut,CAMPAIGN & LOYALTY,Campaign Migrasi,P62-Permintaan kembali ke prepaid (berhenti migrasi ke postpaid),P,KartuHalo,DSC,1
2023-05-15,90067,GraPARI Kota Pinang,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Aktivasi Paket,I21-Informasi spesifikasi produk (tarif & benefit),I,simPATI,DSC,5
2023-05-15,90067,GraPARI Kota Pinang,gerai,1,Sumatera,1,Sumbagut,REGISTRASI & REAKTIVASI,PSB,I11-Informasi spesifikasi & tarif Halo,I,KartuHalo,DSC,1
2023-05-15,90067,GraPARI Kota Pinang,gerai,1,Sumatera,1,Sumbagut,(DE)AKTIVASI PRODUK,Digital Life Style,P26-Permintaan aktivasi produk,P,skunk,DSC,1
2023-05-15,90069,GraPARI Panyabungan,gerai,1,Sumatera,1,Sumbagut,MUTASI,Ganti Kartu,P51-Ganti Kartu Untuk Upgrade Kartu,P,simPATI,DSC,2
